Packet_Size,Connection_Duration,Failed_Logins,CPU_Usage,Memory_Usage,File_Size,Outgoing_Traffic,Incoming_Traffic,URL_Length,Email_Content_Length,label
1181,12.655798435030217,7,2.5982293725780314,70.81959379725365,909,936.9837148359624,303.2148933004769,88,431,1
548,7.037598592509726,0,27.332958312466292,18.57211855009675,513,43.35321411952808,753.3067381764009,164,399,1
992,55.282363100208315,6,28.391739966443062,64.20571467374066,516,813.5488124382674,896.9227410227758,98,415,1
1368,45.325456538052244,2,45.68945549824279,73.792393747885,166,173.039766138676,473.3390539528769,110,125,0
139,10.553457391300608,4,72.57588754532756,29.05032471986191,571,509.27429176243345,933.5941719120802,158,169,1
642,13.06245397539211,9,41.104078057461145,85.46738702503018,623,11.046360056648385,39.3765304378354,55,293,1
618,40.23830335139124,1,70.33409545189325,46.735868461891904,425,50.97676346867597,18.507374850401327,97,321,0
1153,33.26801531379433,5,56.54033919505043,11.654668771519749,200,622.3152523868414,253.24328879117908,105,476,1
213,24.981300359172263,9,78.39123805872336,60.389530014477224,31,338.81042023067744,662.698537539429,153,343,1
1037,8.745990348284629,4,56.782609139958396,88.32052018734622,36,442.43918917880995,829.6950649328547,63,88,0
1229,30.61030233044572,2,8.330258311179639,66.32806368578183,768,847.2154066308179,735.2966788027886,143,304,1
236,34.429710275422316,7,93.52503143943329,76.82759477995226,643,80.62095217578324,981.6472365702749,199,354,1
412,40.85190667484911,4,42.068223704092844,87.11321210821681,348,678.5052268267442,333.0445409266838,17,203,0
812,49.75410784606102,9,86.30269481496236,43.20427135264764,856,743.2372527790843,476.25416921492535,151,60,1
662,34.16454207477054,5,52.722475160039586,13.971019064915835,961,426.158325145277,919.223514330558,176,195,1
889,41.66747995232439,7,24.344563402874474,30.543750229485724,971,838.8642310312495,191.95715143476588,75,68,1
440,9.655011726895712,6,32.60705023271233,60.456266460423755,642,189.50197532638202,684.5397405050858,138,60,1
284,14.553260737310671,4,3.735163481581283,83.27570558710377,418,377.0198566709061,884.3972763852587,151,67,1
1344,2.2889560071859067,1,66.76072297270032,63.56510711589388,734,43.99903055831056,178.70873270350873,152,485,1
1170,51.82366471963553,1,60.21543061264543,48.66100436893823,185,56.78073925630689,398.54739938433335,118,255,0
1304,29.544349851778186,9,58.11223999290556,81.04099327350302,915,136.28907756186993,895.1919995171636,62,388,1
750,55.324630612229285,3,11.121657500221538,86.03672346719318,892,27.616376104929618,290.0760833057258,78,124,0
118,7.218681266391274,3,36.147833409427555,83.91728105102972,297,357.3094694080502,409.82477778470496,145,83,0
88,52.49870587237421,6,4.593003222908997,10.757870271386272,201,897.461280569979,815.4121156320211,143,285,1
454,52.149521527000225,0,16.939912563260727,84.13595989593323,180,15.262291633431623,303.0067007675159,122,471,1
546,56.131549286453044,0,42.76929091162046,54.71151083286355,684,126.03803066879138,482.5964382791672,31,421,1
926,27.45606261994004,6,55.16795637526395,83.75995675057702,49,366.9571127524548,200.2594523103034,119,60,1
526,57.528962526246595,5,37.11741206891131,95.28695203580837,828,476.4826341747147,198.23792557702936,13,214,0
856,35.83514008336559,5,59.637983270236575,63.12457207616191,922,507.27976454922896,8.64382149691345,164,257,1
571,59.31683864384538,4,0.351085091065062,88.69339297092034,232,902.7169348111993,481.29360297930714,127,165,1
989,55.73699825144903,7,90.22202865403742,43.493590036340905,434,713.2391520201999,460.18505927041997,66,224,1
1427,5.963532073303588,1,53.372066135208065,57.21377471653535,173,880.1721806407566,440.08356289238003,139,117,1
744,6.288274624972457,4,75.51177893054172,44.004146765420224,182,577.8778532500544,431.48363627537935,68,368,0
1255,3.829506213782271,9,67.17727263622298,24.513216483451362,714,50.46230323322875,952.922143555439,98,74,1
1455,26.537555342373164,6,78.02269166178947,95.14055157101583,716,209.82603594871696,926.3704487055297,42,436,1
546,15.06189542705182,8,47.17671511498236,74.40804441050601,294,301.7829717398497,783.6401112590298,63,210,1
1201,29.700100841370595,3,50.67117639327983,83.24923700561442,201,662.0886770924774,750.6920585755004,74,241,0
315,19.66614903587329,9,70.62281699579736,74.25371624554654,660,561.0144530299323,329.05941410120744,17,457,1
613,15.87994172740052,2,68.17359520656107,62.05526585948811,583,43.034183306694395,918.4694001013576,164,54,1
624,37.91334486354573,6,69.92427352454739,40.552522145794356,211,437.2149690046685,295.58539674011996,20,313,1
1431,27.13935862147449,5,94.47090508254122,16.43406012282678,18,964.1249320200836,770.9370374846785,123,461,1
834,46.41656613574955,0,75.45395326953876,15.885207615965601,154,56.166164544858674,681.6275307871749,47,106,0
797,44.75684565832649,4,58.15083096240723,78.39607870610179,742,283.4458595054454,822.8817855407875,46,135,0
255,22.676052993127158,9,82.06753834010705,1.8730292060419873,855,718.9787471768998,573.3456214756034,187,386,1
595,3.8729960555958565,7,96.99255735659435,58.897258887634216,646,620.8882691817477,899.1271010066117,88,339,1
382,59.93537728602153,9,93.77922867867817,30.044537955002248,263,686.8465373717261,801.5622175752907,79,146,1
447,29.459016306382424,2,3.618479753292514,98.93646425518628,437,598.4792878167189,576.5301045955619,147,133,0
765,18.039788227291286,0,0.4060586286875667,77.92266510822553,223,674.3358037395014,571.334234822284,114,207,0
447,6.814264233363601,8,29.86839838141343,88.16149409898382,626,326.7286905875062,194.4624877322815,105,110,1
1433,24.73336440732898,5,20.22150874589733,79.70993070673453,47,827.974916078038,869.2175321661997,119,240,1
1272,23.20239720034486,5,78.64448231944233,99.73824938253695,480,938.1595606064592,13.309797230643628,65,465,1
707,44.10036458755327,0,97.19141301256846,40.92275940840977,601,15.997147040741066,488.7584100365685,122,459,1
827,39.2471602905915,0,93.92184948776851,57.45782465305711,744,717.0272962180809,188.8287366539485,81,319,1
841,17.395576433277604,4,65.55581974173488,23.081173135994916,389,908.7045241967932,733.3595640903878,186,408,1
176,31.712086400986646,7,51.22847430502131,9.155173575124609,271,771.181696118228,982.0483989907525,87,149,1
1148,41.87982723410248,6,70.2639464006684,97.83402327965834,239,233.68028441447652,15.868247365817268,194,68,1
1230,29.053067198731288,0,64.50974456426533,48.80834771971446,727,750.8630665348651,987.2947149962611,94,178,0
1304,5.6574247738467776,5,79.72590256481075,1.5499916690321025,990,170.45952894662864,343.90320058308964,123,476,1
1331,4.449021246975743,4,2.3806043258343013,95.03842943791176,74,656.7870109644292,733.5675226509384,77,149,0
1273,40.65151065704239,3,14.70699045503434,45.841383179219775,753,201.135110676532,636.7461631971355,101,240,0
1269,46.83246066717658,8,78.07732348871895,33.82165171825056,8,414.2821135633178,322.93576124438886,121,266,1
1237,23.503119784284284,0,16.674556862593658,76.70116940184214,509,197.99506165681623,964.1109527463213,159,235,1
763,43.44813809252834,2,14.341861223627495,3.16356172129324,805,232.36772423964857,745.5101371879198,48,256,0
1433,27.35463458293523,8,79.57277149698383,73.0591433096617,771,703.9683668043598,376.3748736491917,158,276,1
326,50.566376627912796,3,67.8182584589068,55.34899305004339,367,934.8325742719089,749.2714856757319,32,222,1
985,7.8635719008624125,8,74.92903605492502,4.541015608370369,114,820.9471574549682,576.7411270296075,91,392,1
1157,31.08911967949633,0,22.33714378273689,25.013395714924425,296,600.2061764059684,423.9986983579821,185,295,1
1157,52.6098753297374,1,43.982073783324424,98.34932057997749,131,23.540284279589873,5.463324241878342,139,210,0
989,27.101230704143422,6,35.96367431790025,75.07881764540006,868,847.6326983857128,74.40209493782213,84,94,1
642,35.74722533119032,1,38.67702086029576,1.5222471491490808,303,242.1207606290373,291.31339115513464,84,114,0
711,22.6340539024759,0,89.40546127021446,92.8145220895642,537,902.2549693766853,563.1985966066786,184,356,1
1066,21.721943853578072,9,20.17045573864418,98.97231325547149,212,482.65241831287676,114.56204339604814,19,198,1
1197,49.43788002064931,3,62.76303549017879,2.02702056730526,884,47.22863966546753,643.4455209677448,16,341,0
1465,39.72816660653876,4,65.66219494731291,23.38677436373763,717,381.09984959262954,831.1954563237969,189,294,1
608,56.03242340455848,1,46.90144305527879,77.99157791054098,952,326.6338602809932,344.6632746883567,186,105,1
1017,54.79532163052451,4,76.50431899704897,53.72522720033387,7,395.8368087568959,207.59497883645906,78,86,0
918,7.793624525316867,6,72.88341471223035,17.218852755576275,514,687.2150411811148,715.3947466157658,84,242,1
1376,1.4341119478994577,6,70.59066693266583,98.12446006823907,383,454.8417208732158,352.1131161454547,78,58,1
1300,20.06556781948562,3,2.903990220921937,29.3410910019395,831,417.9880241888735,770.4139868674085,23,404,1
375,26.388669254501064,7,19.578380686040486,31.036337588407935,272,335.24790093122516,984.8146628076182,41,499,1
985,30.681283416024932,0,8.454333538012303,27.811124742435645,735,825.9696948354687,695.1572471880805,53,496,1
1037,28.118332507031152,2,40.17452054249785,84.20155197185079,497,446.55715703407583,499.8631328677302,103,351,0
974,1.0465811544999084,3,62.063695212075956,17.522751301703,328,863.0480434413299,755.0191980403347,139,196,1
87,9.729541712454944,1,75.66024982938546,95.85186081814263,133,213.41443521689695,252.93317880594168,76,296,0
1015,52.99422599801768,7,21.3712974852579,79.39677260436359,550,283.1832717810161,558.2625973529688,161,494,1
122,18.222759236370628,2,97.07909905690295,89.59989516809134,553,283.44223945374966,401.29454862879965,103,91,1
1046,8.33640464442135,2,53.64295458983578,17.073207611304962,396,900.9344955292806,66.90362901245717,90,342,1
436,7.374629003208019,1,55.86814439372338,57.47092028675753,533,792.0213931794245,507.3002325642498,86,391,0
400,48.858593628868796,3,0.7310488654940772,89.93591996761742,334,242.9520001728267,498.848552062623,36,379,0
282,41.47542921221757,0,34.515746413598016,52.01794018985208,767,97.45594724472583,186.45392131105442,89,474,1
631,39.03847866552724,6,78.2064521572431,28.460721182704198,892,34.87783271417455,249.90944935006044,115,119,1
1142,53.84570671173037,3,96.56257228375925,93.07393963624126,271,444.3836100875197,31.708075891562217,12,266,1
1159,44.60495158042298,0,15.079281583235149,12.481766904184266,816,672.9023601653982,573.9461797217537,41,349,0
